Date,Ticker,Sector,Market_Cap,Revenue,P_E_Ratio,Open,Close,High,Low,Volume,RSI,MACD,Bollinger_Upper,Bollinger_Lower,Sentiment_Score,GDP_Growth,Inflation_Rate
2024-03-16,nifty gs compsite,shipping,1120.249742159535,224.00769000062175,0.016730675145059177,0.374638613409226,0.374779989156283,0.373509752443958,0.378390019229706,0.298908632950622,0.847286384702353,0.741715457424719,0.367146268162985,0.366420359123646,0.877176627590078,0.580868456510928,0.0386038920851732
2024-03-05,india vix,plastic,889.0325101903298,179.06137386394272,0.05237008374292074,0.950982223786271,0.937745914490082,0.938422296613466,0.946158069951255,0.0948052661657032,0.494542604470416,0.881343147668474,0.938396019159483,0.935639764762468,0.907191512153538,0.527043705684351,0.108907741341008
2024-10-10,nifty energy,aviation,909.4857337089227,183.46035842464175,0.039236012191390036,0.732197544922114,0.719825286017839,0.723644092729391,0.723158278266361,0.126348122436808,0.195470614321394,0.463178510023244,0.710665956626901,0.702300143790901,0.37836316719539,0.351052253415626,0.432540279286942
2024-11-08,nifty50 pr 1x inv,shipping,1083.7311050239127,216.557917652184,0.0276999880951801,0.598822880295374,0.599865174115949,0.596972959333948,0.605322079191292,0.180662447460975,0.736683991231594,0.289076344411669,0.593792681987179,0.586936064957155,0.231613734933928,0.49327382417676,0.946349214232289
2024-09-12,nifty50 pr 1x inv,electricals,332.7772882579649,65.05722328749054,0.0251178785850172,0.156052879220724,0.163409943586472,0.155891212457567,0.166084437421694,0.203645678441758,0.418698483200263,0.318761411704724,0.164158067243688,0.156355215620789,0.191641929916207,0.365116474578434,0.0748667856858119
2024-01-13,nifty fin service,hospitality,418.8776076699794,79.68664259345952,0.021698379337845432,0.156028752022023,0.172907099936918,0.166794829080069,0.165806337042833,0.242255874873154,0.594659925884325,0.697082614688993,0.188214981777779,0.180906607551734,0.881970821557404,0.658045636047559,0.721408285697519
2024-01-01,nifty cpse,photography,144.77446508670667,29.31656722807473,0.01933147463695689,0.0580890533563044,0.0566732476005483,0.0627320526506736,0.056931930033335,0.255454683146314,0.10726423089457,0.567617268700207,0.0774994773910209,0.0655211965391965,0.231205513314169,0.835201078892299,0.507390754744109
2024-01-12,nifty metal,it,3931.0793776447113,787.9524365361282,0.010947470641939327,0.86641920488201,0.86260861663333,0.857992004752669,0.867400399547139,0.455719929275376,0.631618972370959,0.486506301455156,0.862911009642119,0.854022391403094,0.530838030698654,0.787050337810129,0.275862632658421
2024-08-11,nifty midcap 150,aviation,3088.4534090245324,615.2451742668247,0.009851019207758245,0.601280130178332,0.606079202928157,0.603584770749452,0.604284976046519,0.509579176137913,0.373567734347465,0.202621526541174,0.612846691052601,0.607921191810747,0.331727639313528,0.340704390288603,0.316943133551175
2024-01-22,nifty50 pr 1x inv,aviation,2195.137606608881,438.2812747149019,0.016215275282016377,0.70826914687971,0.710685152061733,0.705567129255892,0.712457319244889,0.308876244317287,0.334204289428567,0.875693681997017,0.710610036538998,0.704884785389344,0.498932719236864,0.509485888065683,0.022837138705569
2024-02-18,nifty div opps 50,aviation,370.78116554076183,55.74977510193308,0.007330169113666603,0.0205789089467455,0.0408655279619351,0.0311847336840484,0.0344021264308687,0.90732014006067,0.979974506256429,0.781203614619144,0.0511813726865376,0.0578376054222149,0.345756123389591,0.010561804541737,0.700501897921766
2024-03-04,nifty gs compsite,paper,5344.666251656868,1071.1213019416236,0.009020712916977846,0.97018341394842,0.966227776416514,0.961908207209181,0.965953945949607,0.553147651320772,0.432451935636798,0.140449974773997,0.963775076425113,0.94601678032046,0.292935001716155,0.870460937771966,0.100402695431081
2024-05-20,nifty pvt bank,photography,6587.698854581917,1314.498153564073,0.00636393571670765,0.832675780640929,0.83653817490763,0.831834281154811,0.830167320678046,0.787495305316978,0.678076554286745,0.367331474486054,0.820057298175737,0.835806543499175,0.427316459636537,0.245377052375268,0.0346743163428721
